Population,Poverty Count,poverty_male,poverty_female,poverty_white_alone,poverty_black_alone,population_american_indian_alone,poverty_asian_alone,poverty_native_hawaiian_alone,poverty_two_or_more_races,poverty_hispanic_origin,poverty_family,poverty_family_single_male,poverty_family_single_female,employment_labor_force,employment_not_labor_force,employment_employed,employment_unemployed,Zipcode,Poverty Rate,index,City,County,Type
31054.0,7448.0,3798.0,3650.0,3824.0,997.0,68.0,825.0,0.0,224.0,2329.0,679.0,64.0,357.0,21425.0,7437.0,18992.0,2433.0,90028,23.984027822502735,28,Los Angeles,Los Angeles,Standard
38843.0,9359.0,4368.0,4991.0,3762.0,305.0,22.0,940.0,43.0,274.0,6020.0,1457.0,184.0,735.0,23620.0,9622.0,21629.0,1991.0,90029,24.09443142908632,29,Los Angeles,Los Angeles,Standard
39103.0,9621.0,4273.0,5348.0,3485.0,94.0,54.0,2328.0,32.0,224.0,6508.0,1934.0,175.0,795.0,19946.0,11356.0,18297.0,1649.0,90031,24.604250313275195,31,Los Angeles,Los Angeles,Standard
47766.0,10031.0,4347.0,5684.0,3125.0,265.0,78.0,582.0,0.0,252.0,8417.0,1926.0,272.0,901.0,24685.0,13743.0,22177.0,2508.0,90032,21.000293095507264,32,Los Angeles,Los Angeles,Standard
48841.0,16777.0,7405.0,9372.0,12765.0,180.0,138.0,648.0,7.0,346.0,15495.0,3133.0,435.0,1714.0,20674.0,15763.0,19161.0,1513.0,90033,34.350238529104644,33,Los Angeles,Los Angeles,Standard
56070.0,7379.0,3482.0,3897.0,4453.0,494.0,23.0,1410.0,34.0,322.0,2489.0,1021.0,114.0,408.0,36996.0,11696.0,35013.0,1963.0,90034,13.160335295166757,34,Los Angeles,Los Angeles,Standard
29920.0,3383.0,1475.0,1908.0,2364.0,352.0,0.0,178.0,0.0,185.0,495.0,375.0,19.0,119.0,17197.0,7344.0,16244.0,938.0,90035,11.306818181818182,35,Los Angeles,Los Angeles,Standard
38116.0,4485.0,1966.0,2519.0,3163.0,191.0,33.0,706.0,29.0,94.0,495.0,432.0,71.0,128.0,24559.0,7903.0,23112.0,1447.0,90036,11.766712141882675,36,Los Angeles,Los Angeles,Standard
63238.0,23361.0,10591.0,12770.0,6956.0,4563.0,85.0,246.0,0.0,417.0,17975.0,4067.0,616.0,2018.0,28366.0,18828.0,25483.0,2883.0,90037,36.941395996078306,37,Los Angeles,Los Angeles,Standard
27957.0,7956.0,3802.0,4154.0,2611.0,373.0,70.0,259.0,0.0,393.0,5291.0,1353.0,155.0,576.0,17465.0,6187.0,16063.0,1402.0,90038,28.457989054619595,38,Los Angeles,Los Angeles,Standard
29092.0,2941.0,1320.0,1621.0,1727.0,15.0,51.0,440.0,0.0,61.0,1795.0,540.0,27.0,231.0,17807.0,7311.0,16508.0,1299.0,90039,10.109308400934966,39,Los Angeles,Los Angeles,Standard
