Population,Poverty Count,poverty_male,poverty_female,poverty_white_alone,poverty_black_alone,population_american_indian_alone,poverty_asian_alone,poverty_native_hawaiian_alone,poverty_two_or_more_races,poverty_hispanic_origin,poverty_family,poverty_family_single_male,poverty_family_single_female,employment_labor_force,employment_not_labor_force,employment_employed,employment_unemployed,Zipcode,Poverty Rate,index,City,County,Type
28151.0,8078.0,4177.0,3901.0,4257.0,555.0,75.0,740.0,33.0,258.0,2931.0,788.0,62.0,298.0,18753.0,7107.0,16070.0,2683.0,90028,28.695250612766863,28,Los Angeles,Los Angeles,Standard
40208.0,10456.0,5172.0,5284.0,3669.0,471.0,35.0,729.0,0.0,287.0,7507.0,1835.0,205.0,776.0,23173.0,10039.0,20148.0,3025.0,90029,26.004775169120574,29,Los Angeles,Los Angeles,Standard
40052.0,13052.0,6070.0,6982.0,3816.0,239.0,154.0,3170.0,23.0,360.0,9311.0,2492.0,430.0,737.0,19257.0,11893.0,16472.0,2785.0,90031,32.58763607310496,31,Los Angeles,Los Angeles,Standard
47784.0,9232.0,4004.0,5228.0,4907.0,150.0,221.0,429.0,0.0,113.0,8195.0,1740.0,207.0,909.0,23885.0,13774.0,19795.0,4090.0,90032,19.320274568893353,32,Los Angeles,Los Angeles,Standard
49049.0,16813.0,7643.0,9170.0,8771.0,210.0,222.0,805.0,0.0,263.0,15571.0,3131.0,383.0,1619.0,21789.0,14669.0,17884.0,3905.0,90033,34.27796693102815,33,Los Angeles,Los Angeles,Standard
58703.0,10277.0,4646.0,5631.0,6234.0,765.0,32.0,1663.0,35.0,593.0,3965.0,1530.0,166.0,653.0,36981.0,13090.0,33855.0,3074.0,90034,17.506771374546446,34,Los Angeles,Los Angeles,Standard
30999.0,2748.0,1069.0,1679.0,1950.0,374.0,11.0,253.0,0.0,72.0,213.0,393.0,11.0,145.0,18310.0,7324.0,16368.0,1909.0,90035,8.864802090390013,35,Los Angeles,Los Angeles,Standard
36101.0,4825.0,2157.0,2668.0,3140.0,322.0,0.0,716.0,98.0,308.0,673.0,577.0,131.0,200.0,24107.0,6807.0,21954.0,2130.0,90036,13.365280740145703,36,Los Angeles,Los Angeles,Standard
61845.0,25066.0,11579.0,13487.0,3736.0,5044.0,60.0,203.0,0.0,386.0,19152.0,4775.0,534.0,2666.0,28278.0,17013.0,23683.0,4583.0,90037,40.530358153448134,37,Los Angeles,Los Angeles,Standard
29836.0,8307.0,4095.0,4212.0,2829.0,607.0,17.0,188.0,0.0,382.0,5556.0,1323.0,201.0,623.0,18252.0,6180.0,15703.0,2549.0,90038,27.842204048800106,38,Los Angeles,Los Angeles,Standard
27049.0,3570.0,1918.0,1652.0,2294.0,51.0,11.0,242.0,0.0,178.0,2077.0,613.0,26.0,287.0,16676.0,6500.0,14952.0,1724.0,90039,13.198269806647195,39,Los Angeles,Los Angeles,Standard
12696.0,2097.0,870.0,1227.0,1213.0,0.0,21.0,10.0,15.0,105.0,2029.0,436.0,92.0,184.0,5657.0,4158.0,4735.0,893.0,90040,16.517013232514177,40,Los Angeles,Los Angeles,Standard
28203.0,3207.0,1390.0,1817.0,1969.0,100.0,37.0,528.0,0.0,153.0,1492.0,484.0,67.0,196.0,15681.0,8279.0,14231.0,1414.0,90041,11.371130730773322,41,Los Angeles,Los Angeles,Standard
60623.0,11328.0,5128.0,6200.0,5620.0,320.0,40.0,837.0,0.0,150.0,9171.0,1987.0,197.0,884.0,32773.0,15630.0,28484.0,4280.0,90042,18.685977269353216,42,Los Angeles,Los Angeles,Standard
43527.0,9442.0,3894.0,5548.0,1294.0,5377.0,0.0,151.0,0.0,467.0,3419.0,1765.0,230.0,992.0,21414.0,13536.0,17824.0,3573.0,90043,21.69228295081214,43,Los Angeles,Los Angeles,Standard
87590.0,29992.0,12784.0,17208.0,7013.0,9985.0,90.0,102.0,80.0,933.0,19026.0,5901.0,632.0,3435.0,37251.0,26590.0,31965.0,5263.0,90044,34.24135175248316,44,Los Angeles,Los Angeles,Standard
40272.0,4327.0,1757.0,2570.0,2420.0,980.0,59.0,562.0,42.0,247.0,551.0,650.0,80.0,278.0,22882.0,10985.0,20758.0,2112.0,90045,10.744437822804926,45,Los Angeles,Los Angeles,Standard
50499.0,8229.0,3698.0,4531.0,6488.0,400.0,29.0,258.0,22.0,614.0,1146.0,662.0,50.0,313.0,34631.0,12166.0,30798.0,3825.0,90046,16.295372185587834,46,Los Angeles,Los Angeles,Standard
47533.0,9962.0,4221.0,5741.0,1433.0,7100.0,0.0,33.0,6.0,77.0,2697.0,2012.0,375.0,1244.0,22685.0,14591.0,19026.0,3659.0,90047,20.958071234721142,47,Los Angeles,Los Angeles,Standard
21316.0,1956.0,696.0,1260.0,1588.0,8.0,0.0,200.0,0.0,71.0,190.0,167.0,19.0,122.0,14776.0,4547.0,13414.0,1362.0,90048,9.176205667104522,48,Los Angeles,Los Angeles,Standard
35310.0,2261.0,856.0,1405.0,1857.0,25.0,0.0,255.0,0.0,96.0,203.0,301.0,6.0,124.0,20564.0,9555.0,19175.0,1363.0,90049,6.4032851883319175,49,Los Angeles,Los Angeles,Standard
8536.0,454.0,122.0,332.0,17.0,362.0,46.0,0.0,0.0,14.0,30.0,73.0,20.0,45.0,4574.0,2786.0,4077.0,497.0,90056,5.318650421743206,56,Los Angeles,Los Angeles,Standard
